TIMESTAMP,FORECAST,POWER
20131101 1:00,,0.34067938
20131101 2:00,,0.34776267
20131101 3:00,,0.34865817
20131101 4:00,,0.34136483
20131101 5:00,,0.35910758
20131101 6:00,,0.36268467
20131101 7:00,,0.31500813
20131101 8:00,,0.17520085
20131101 9:00,,0.09427191
20131101 10:00,,0.015770953
20131101 11:00,,0.014141154
20131101 12:00,,0.016322222
20131101 13:00,,0.018268522
20131101 14:00,,0.016134692
20131101 15:00,,0.0121585205
20131101 16:00,,0.016679559
20131101 17:00,,0.019426253
20131101 18:00,,0.023935392
20131101 19:00,,0.018606566
20131101 20:00,,0.012315493
20131101 21:00,,0.014530383
20131101 22:00,,0.020078495
20131101 23:00,,0.06750101
20131102 0:00,,0.14130928
20131102 1:00,,0.43467072
20131102 2:00,,0.4935002
20131102 3:00,,0.5680519
20131102 4:00,,0.650404
20131102 5:00,,0.68235564
20131102 6:00,,0.63160616
20131102 7:00,,0.5634168
20131102 8:00,,0.5329307
20131102 9:00,,0.5362413
20131102 10:00,,0.4791042
20131102 11:00,,0.41686586
20131102 12:00,,0.31205437
20131102 13:00,,0.48480114
20131102 14:00,,0.5975363
20131102 15:00,,0.29852384
20131102 16:00,,0.3638511
20131102 17:00,,0.4968094
20131102 18:00,,0.5573875
20131102 19:00,,0.48894584
20131102 20:00,,0.3957307
20131102 21:00,,0.4506981
20131102 22:00,,0.5402482
20131102 23:00,,0.5309287
20131103 0:00,,0.5190825
20131103 1:00,,0.45531878
20131103 2:00,,0.46657124
20131103 3:00,,0.61761296
20131103 4:00,,0.6543714
20131103 5:00,,0.630362
20131103 6:00,,0.6291241
20131103 7:00,,0.62572825
20131103 8:00,,0.62100375
20131103 9:00,,0.5488219
20131103 10:00,,0.47058865
20131103 11:00,,0.3867246
20131103 12:00,,0.5554071
20131103 13:00,,0.5723715
20131103 14:00,,0.6163518
20131103 15:00,,0.6767435
20131103 16:00,,0.7204303
20131103 17:00,,0.7498258
20131103 18:00,,0.77364796
20131103 19:00,,0.7907341
20131103 20:00,,0.8116135
20131103 21:00,,0.83015937
20131103 22:00,,0.8512798
20131103 23:00,,0.8315702
20131104 0:00,,0.7518324
20131104 1:00,,0.7016924
20131104 2:00,,0.6060279
20131104 3:00,,0.5263014
20131104 4:00,,0.43828222
20131104 5:00,,0.38797152
20131104 6:00,,0.37679335
20131104 7:00,,0.37924293
20131104 8:00,,0.3985016
20131104 9:00,,0.26765612
20131104 10:00,,0.31897286
20131104 11:00,,0.40735358
20131104 12:00,,0.4632388
20131104 13:00,,0.49879053
20131104 14:00,,0.5319637
20131104 15:00,,0.5570176
20131104 16:00,,0.59911823
20131104 17:00,,0.63764524
20131104 18:00,,0.6257028
20131104 19:00,,0.5949331
20131104 20:00,,0.5746972
20131104 21:00,,0.65655506
20131104 22:00,,0.7246666
20131104 23:00,,0.7432185
20131105 0:00,,0.64576393
20131105 1:00,,0.44114748
20131105 2:00,,0.30889514
20131105 3:00,,0.21189937
20131105 4:00,,0.14470321
20131105 5:00,,0.0935384
20131105 6:00,,0.03794835
20131105 7:00,,0.02307972
20131105 8:00,,0.10363947
20131105 9:00,,0.2034879
20131105 10:00,,0.3045791
20131105 11:00,,0.2961674
20131105 12:00,,0.28625527
20131105 13:00,,0.29319954
20131105 14:00,,0.29915985
20131105 15:00,,0.3006029
20131105 16:00,,0.2755161
20131105 17:00,,0.25910106
20131105 18:00,,0.2729061
20131105 19:00,,0.2947699
20131105 20:00,,0.30948558
20131105 21:00,,0.4135581
20131105 22:00,,0.43076
20131105 23:00,,0.4984664
20131106 0:00,,0.49599537
20131106 1:00,,0.37411383
20131106 2:00,,0.28114608
20131106 3:00,,0.21704984
20131106 4:00,,0.19613501
20131106 5:00,,0.19808672
20131106 6:00,,0.19240716
20131106 7:00,,0.1773299
20131106 8:00,,0.10024656
20131106 9:00,,0.10083431
20131106 10:00,,0.066412956
20131106 11:00,,0.21608359
20131106 12:00,,0.19115432
20131106 13:00,,0.3629202
20131106 14:00,,0.47168735
20131106 15:00,,0.5150849
