TIMESTAMP,FORECAST
20131101 1:00,0.37581798
20131101 2:00,0.38357356
20131101 3:00,0.38455412
20131101 4:00,0.37656847
20131101 5:00,0.39599535
20131101 6:00,0.3999119
20131101 7:00,0.34771022
20131101 8:00,0.19555433
20131101 9:00,0.11135458
20131101 10:00,0.024243727
20131101 11:00,0.029416662
20131101 12:00,0.024443664
20131101 13:00,0.030849926
20131101 14:00,0.025771372
20131101 15:00,0.025694247
20131101 16:00,0.026255596
20131101 17:00,0.033981234
20131101 18:00,0.04329109
20131101 19:00,0.031764254
20131101 20:00,0.025914356
20131101 21:00,0.03069795
20131101 22:00,0.0359649
20131101 23:00,0.08413966
20131102 0:00,0.16057597
20131102 1:00,0.47540548
20131102 2:00,0.53008085
20131102 3:00,0.60284775
20131102 4:00,0.6833808
20131102 5:00,0.7146984
20131102 6:00,0.6649602
20131102 7:00,0.598321
20131102 8:00,0.56856585
20131102 9:00,0.5717971
20131102 10:00,0.51603
20131102 11:00,0.45923558
20131102 12:00,0.344476
20131102 13:00,0.5215904
20131102 14:00,0.6316564
20131102 15:00,0.32966134
20131102 16:00,0.40118903
20131102 17:00,0.5333107
20131102 18:00,0.5924362
20131102 19:00,0.5256357
20131102 20:00,0.4360944
20131102 21:00,0.48894364
20131102 22:00,0.575708
20131102 23:00,0.56661177
20131103 0:00,0.55504966
20131103 1:00,0.49284667
20131103 2:00,0.5037976
20131103 3:00,0.65128005
20131103 4:00,0.6872694
20131103 5:00,0.663744
20131103 6:00,0.66253376
20131103 7:00,0.65921384
20131103 8:00,0.65459496
20131103 9:00,0.58407605
20131103 10:00,0.5077187
20131103 11:00,0.4262335
20131103 12:00,0.5905033
20131103 13:00,0.6070683
20131103 14:00,0.65004706
20131103 15:00,0.7091977
20131103 16:00,0.75199527
20131103 17:00,0.7807027
20131103 18:00,0.7964871
20131103 19:00,0.80338544
20131103 20:00,0.81180763
20131103 21:00,0.8275148
20131103 22:00,0.8550672
20131103 23:00,0.8293691
20131104 0:00,0.78266233
20131104 1:00,0.7336513
20131104 2:00,0.6399542
20131104 3:00,0.56209546
20131104 4:00,0.47845605
